name,rating,genre,year,released,score,votes,director,gender_director,writer,star,gender_star,country,ISO_codes,budget,gross,company,runtime
The Shining,R,Drama,1980,"June 13, 1980 (United States)",8.4,927000.0,Stanley Kubrick,male,Stephen King,Jack Nicholson,male,United Kingdom,GB,19000000.0,46998772.0,Warner Bros.,146.0
The Blue Lagoon,R,Adventure,1980,"July 2, 1980 (United States)",5.8,65000.0,Randal Kleiser,male,Henry De Vere Stacpoole,Brooke Shields,female,United States,US,4500000.0,58853106.0,Columbia Pictures,104.0
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,"June 20, 1980 (United States)",8.7,1200000.0,Irvin Kershner,male,Leigh Brackett,Mark Hamill,male,United States,US,18000000.0,538375067.0,Lucasfilm,124.0
Airplane!,PG,Comedy,1980,"July 2, 1980 (United States)",7.7,221000.0,Jim Abrahams,male,Jim Abrahams,Robert Hays,male,United States,US,3500000.0,83453539.0,Paramount Pictures,88.0
Caddyshack,R,Comedy,1980,"July 25, 1980 (United States)",7.3,108000.0,Harold Ramis,male,Brian Doyle-Murray,Chevy Chase,male,United States,US,6000000.0,39846344.0,Orion Pictures,98.0
Friday the 13th,R,Horror,1980,"May 9, 1980 (United States)",6.4,123000.0,Sean S. Cunningham,male,Victor Miller,Betsy Palmer,female,United States,US,550000.0,39754601.0,Paramount Pictures,95.0
The Blues Brothers,R,Action,1980,"June 20, 1980 (United States)",7.9,188000.0,John Landis,male,Dan Aykroyd,John Belushi,male,United States,US,27000000.0,115229890.0,Universal Pictures,133.0
Raging Bull,R,Biography,1980,"December 19, 1980 (United States)",8.2,330000.0,Martin Scorsese,male,Jake LaMotta,Robert De Niro,male,United States,US,18000000.0,23402427.0,Chartoff-Winkler Productions,129.0
Superman II,PG,Action,1980,"June 19, 1981 (United States)",6.8,101000.0,Richard Lester,male,Jerry Siegel,Gene Hackman,male,United States,US,54000000.0,108185706.0,Dovemead Films,127.0
The Long Riders,R,Biography,1980,"May 16, 1980 (United States)",7.0,10000.0,Walter Hill,male,Bill Bryden,David Carradine,male,United States,US,10000000.0,15795189.0,United Artists,100.0
Any Which Way You Can,PG,Action,1980,"December 17, 1980 (United States)",6.1,18000.0,Buddy Van Horn,male,Stanford Sherman,Clint Eastwood,male,United States,US,15000000.0,70687344.0,The Malpaso Company,116.0
The Gods Must Be Crazy,PG,Adventure,1980,"October 26, 1984 (United States)",7.3,54000.0,Jamie Uys,female,Jamie Uys,N!xau,male,South Africa,ZA,5000000.0,30031783.0,C.A.T. Films,109.0
Popeye,PG,Adventure,1980,"December 12, 1980 (United States)",5.3,30000.0,Robert Altman,male,Jules Feiffer,Robin Williams,male,United States,US,20000000.0,49823037.0,Paramount Pictures,114.0
Ordinary People,R,Drama,1980,"September 19, 1980 (United States)",7.7,49000.0,Robert Redford,male,Judith Guest,Donald Sutherland,male,United States,US,6000000.0,54766923.0,Paramount Pictures,124.0
Dressed to Kill,R,Crime,1980,"July 25, 1980 (United States)",7.1,37000.0,Brian De Palma,male,Brian De Palma,Michael Caine,male,United States,US,6500000.0,31899000.0,Filmways Pictures,104.0
Somewhere in Time,PG,Drama,1980,"October 3, 1980 (United States)",7.2,27000.0,Jeannot Szwarc,male,Richard Matheson,Christopher Reeve,male,United States,US,5100000.0,9709597.0,Rastar Pictures,103.0
Fame,R,Drama,1980,"May 16, 1980 (United States)",6.6,21000.0,Alan Parker,male,Christopher Gore,Eddie Barth,male,United States,US,35589876.192650534,21202829.0,Metro-Goldwyn-Mayer (MGM),134.0
